woo_product_id,woo_variation_id,source_url,target_filename,validation_status,conversion_required,usage_type
35,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/belle.jpg,variant-760-beauty-by-ad-lip-stain-variant.jpg,FOUND,False,variant_image
35,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/buff.jpg,variant-761-beauty-by-ad-lip-stain-variant-02.jpg,FOUND,False,variant_image
35,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/khaki.jpg,variant-762-beauty-by-ad-lip-stain-variant-03.jpg,FOUND,False,variant_image
35,757,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/belle.jpg,variant-760-beauty-by-ad-lip-stain-variant.jpg,FOUND,False,variant_image
35,758,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/buff.jpg,variant-761-beauty-by-ad-lip-stain-variant-02.jpg,FOUND,False,variant_image
35,759,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/khaki.jpg,variant-762-beauty-by-ad-lip-stain-variant-03.jpg,FOUND,False,variant_image
49,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Merak-Cosmetics-Setting-Powder.jpg,product-623-merak-cosmetics-setting-powder.jpg,FOUND,False,product_featured
49,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Cinnamon.jpg,variant-624-merak-cosmetics-setting-powder-variant.jpg,FOUND,False,variant_image
49,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/curry.jpg,variant-625-merak-cosmetics-setting-powder-variant-02.jpg,FOUND,False,variant_image
49,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Ginger.jpg,variant-626-merak-cosmetics-setting-powder-variant-03.jpg,FOUND,False,variant_image
49,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/nutmeg.jpg,variant-627-merak-cosmetics-setting-powder-variant-04.jpg,FOUND,False,variant_image
49,619,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Cinnamon.jpg,variant-624-merak-cosmetics-setting-powder-variant.jpg,FOUND,False,variant_image
49,620,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/curry.jpg,variant-625-merak-cosmetics-setting-powder-variant-02.jpg,FOUND,False,variant_image
49,621,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Ginger.jpg,variant-626-merak-cosmetics-setting-powder-variant-03.jpg,FOUND,False,variant_image
49,622,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/nutmeg.jpg,variant-627-merak-cosmetics-setting-powder-variant-04.jpg,FOUND,False,variant_image
50,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Merak-Cosmetics-Pencil-Liner.jpg,product-616-merak-cosmetics-pencil-liner.jpg,FOUND,False,product_featured
51,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Yanga-Beauty-Setting-Powder.jpg,product-1831-yanga-beauty-blurfect-loose-powder.jpg,FOUND,False,product_featured
51,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/05/Yanga-Beauty-Setting-Powder.jpg,product-1831-yanga-beauty-blurfect-loose-powder-02.jpg,FOUND,False,product_featured
51,,https://wholesalebeautyhub.co.uk/wp-content/uploads/2024/04/Cinammon1.jpg,variant-608-yanga-beauty-blurfect-loose-powder-variant.jpg,FOUND,False,variant_image
