fingerprint,record_count,source_type,source_id,attachment_id,usage_type,source_filename,classification
fd84fbb01178d90a,2,product,118,1070,product_featured,2024/04/Luzta-Eye-Shadow-mint1.jpg,SHARED
fd84fbb01178d90a,2,variant,1067,1070,variant_image,2024/04/Luzta-Eye-Shadow-mint1.jpg,SHARED
28ba43770bb2ca95,2,product,303,1086,product_featured,2024/04/Koji-San-Soap-100G-3In1.webp,SHARED
28ba43770bb2ca95,2,page,629,1086,page_image,2024/04/Koji-San-Soap-100G-3In1.webp,SHARED
c0b68bec7fccbb94,2,product,107,3996,product_gallery,2024/09/60F77F0D-25ED-42C0-AD73-F657C52A487F.jpeg,SHARED
c0b68bec7fccbb94,2,variant,3995,3996,variant_image,2024/09/60F77F0D-25ED-42C0-AD73-F657C52A487F.jpeg,SHARED
44a12e2afe2de4b5,2,product,106,4008,product_featured,2024/09/2CE7CDF4-F606-4509-8E14-362EAA8A3C4C.jpeg,SHARED
44a12e2afe2de4b5,2,product,106,4008,product_featured,2024/09/2CE7CDF4-F606-4509-8E14-362EAA8A3C4C.jpeg,SHARED
adfd0fe1c5d911eb,2,product,244,15179,product_featured,2024/04/amlactin.webp,SHARED
adfd0fe1c5d911eb,2,variant,15236,15179,variant_image,2024/04/amlactin.webp,SHARED
8f7dd741130e0983,2,product,234,1218,product_featured,2024/04/Touch-Bright-And-Clear-Cream-2-Oz-56.7.webp,SHARED
8f7dd741130e0983,2,page,629,1218,page_image,2024/04/Touch-Bright-And-Clear-Cream-2-Oz-56.7.webp,SHARED
613d3a4f2f826947,2,product,227,8667,product_featured,2024/04/IMG_0609.jpeg,SHARED
613d3a4f2f826947,2,product,11698,8667,product_gallery,2024/04/IMG_0609.jpeg,SHARED
154c35a220e94f49,2,product,227,8666,product_gallery,2024/04/IMG_0607.jpeg,SHARED
154c35a220e94f49,2,product,11698,8666,product_gallery,2024/04/IMG_0607.jpeg,SHARED
2590c1b18aa90fc4,2,product,227,8668,product_gallery,2024/04/IMG_0608.jpeg,SHARED
2590c1b18aa90fc4,2,product,11698,8668,product_gallery,2024/04/IMG_0608.jpeg,SHARED
2334c25951a6778c,2,product,90,1433,product_featured,2024/04/Omaricode-Skin-Mist-100Ml.jpg,SHARED
2334c25951a6778c,2,variant,1431,1433,variant_image,2024/04/Omaricode-Skin-Mist-100Ml.jpg,SHARED
573f6610a35b3ad8,2,product,87,1563,product_featured,2024/04/Soo-Pro-Lip-Gloss.jpg,SHARED
573f6610a35b3ad8,2,page,629,1563,page_image,2024/04/Soo-Pro-Lip-Gloss.jpg,SHARED
8ce365f20894b3d9,2,product,86,1569,product_featured,2024/04/Soo-Pro-Lipstain.jpg,SHARED
8ce365f20894b3d9,2,page,629,1569,page_image,2024/04/Soo-Pro-Lipstain.jpg,SHARED
ce53d1b7c06b4bcf,2,product,85,1578,product_featured,2024/04/Soo-Pro-Highlighter-shades1.jpg,SHARED
ce53d1b7c06b4bcf,2,product,85,1578,product_featured,2024/04/Soo-Pro-Highlighter-shades1.jpg,SHARED
a3b4a726fd9f47c6,2,product,69,1608,product_featured,2024/04/Msmetics-14In1-Lash-Set-Betrothed.jpg,SHARED
a3b4a726fd9f47c6,2,variant,1505,1608,variant_image,2024/04/Msmetics-14In1-Lash-Set-Betrothed.jpg,SHARED
5a52e50aa0aa7ab2,2,product,66,3975,product_featured,2024/04/4B15A2D3-2014-4E61-B5FC-A66EE1E36A21.jpeg,SHARED
5a52e50aa0aa7ab2,2,product,66,3975,product_featured,2024/04/4B15A2D3-2014-4E61-B5FC-A66EE1E36A21.jpeg,SHARED
0994c0b2f564c768,2,product,1759,1867,product_featured,2024/05/Naturium-The-Perfector-Salicylic-Acid-Body-Wash-500Ml.webp,DUPLICATE_CANDIDATE
0994c0b2f564c768,2,unused,18394,18394,unused,2026/02/Naturium-The-Perfector-Salicylic-Acid-Body-Wash-500Ml.webp,DUPLICATE_CANDIDATE
1946011ddd55dc3e,2,product,1721,1908,product_featured,2024/05/Ezanic-Azelaic-Acid-Gel.jpg,SHARED
1946011ddd55dc3e,2,page,629,1908,page_image,2024/05/Ezanic-Azelaic-Acid-Gel.jpg,SHARED
0f64bc705e188580,2,product,1713,1916,product_featured,2024/05/Davies-Brow-Pencil-03-Pack-Of-12.jpg,SHARED
0f64bc705e188580,2,page,629,1916,page_image,2024/05/Davies-Brow-Pencil-03-Pack-Of-12.jpg,SHARED
44875a0d3bf9a518,2,product,1709,1920,product_featured,2024/05/Classic-Super-Hold-Lash-Glue.jpg,SHARED
44875a0d3bf9a518,2,page,629,1920,page_image,2024/05/Classic-Super-Hold-Lash-Glue.jpg,SHARED
8ba0ba9a31152c08,2,product,1687,5925,product_featured,2024/05/7E3F263C-D076-42A7-B4D4-B9E67DF97E2A.jpeg,SHARED
8ba0ba9a31152c08,2,product,1687,5925,product_featured,2024/05/7E3F263C-D076-42A7-B4D4-B9E67DF97E2A.jpeg,SHARED
6ed5f6b4bb13f36e,2,product,1683,4732,product_featured,2024/05/FF211E21-8763-4C6A-8D2B-816F1323091F.jpeg,SHARED
