product_id,variation_id,term_id,attachment_id,usage_type,target_filename
160,,,1517,product_featured,product-1517-nuban-beauty-11pcs-makeup-brush-set.webp
159,,,1518,product_featured,product-1518-nuban-beauty-powder-brush.webp
156,,,1520,product_featured,product-1520-yanga-beauty-foundation-brush.webp
155,,,1521,product_featured,product-1521-yanga-beauty-angled-flat-brush.jpg
154,,,1522,product_featured,product-1522-merak-cosmetics-flat-brush.jpg
153,,,1523,product_featured,product-1523-merak-cosmetics-angled-brush.jpg
146,,,1534,product_featured,product-1534-beauty-by-ad-setting-powder.jpg
136,,,1543,product_featured,product-1543-tm-essentials-cheek-glaze-palatte.jpg
132,,,1550,product_featured,product-1550-sylvimak-irresistable-eyeshadow-pallatte.jpg
131,,,1551,product_featured,product-1551-tehila-black-magic-gel-liner.webp
129,,,1553,product_featured,product-1553-blossom-afro-chic-lip-palette.jpg
128,,,1554,product_featured,product-1554-blossom-35-color-matte-and-cream-eyeshadow-palette.jpg
126,,,1555,product_featured,product-1555-blossom-african-queen-palette.jpg
125,,,1556,product_featured,product-1556-vee-beauty-12-in-1-powder-palette.jpg
124,,,1557,product_featured,product-1557-vee-beauty-9-in-1-powder-palette.jpg
123,,,1558,product_featured,product-1558-vee-beauty-be-my-val-palette.webp
87,,,1563,product_featured,product-1563-sooo-pro-lip-gloss.jpg
86,,,1569,product_featured,product-1569-sooo-pro-lipstain.jpg
85,,,1578,product_featured,product-1578-sooo-pro-highlighter.jpg
85,,,1578,product_featured,product-1578-sooo-pro-highlighter-02.jpg
84,,,1579,product_featured,product-1579-sooo-pro-seal-it-spray.webp
82,,,1583,product_featured,product-1583-milani-powder.png
82,,,1584,product_gallery,product-1584-milani-powder-02.jpg
76,,,1598,product_featured,product-1598-sephora-microsmooth-multi-tasking-baked-face-powder-foundati.jpg
76,,,1599,product_gallery,product-1599-sephora-microsmooth-multi-tasking-baked-face-powder-foundati-02.jpg
69,,,1608,product_featured,product-1608-msmetics-14in1-lash-set.jpg
68,,,1613,product_featured,product-1613-msmetics-power-seal-sweat-and-oil.webp
67,,,1617,product_featured,product-1617-msmetics-sealowatt.jpg
66,,,3975,product_featured,product-3975-msmetics-glazed-dewy-balm.jpeg
66,,,3975,product_featured,product-3975-msmetics-glazed-dewy-balm-02.jpeg
278,,,2753,product_featured,product-2753-skin-aqua-sunscreen-140g.jpg
277,,,2754,product_featured,product-2754-skin-aqua-sunscreen-110g.jpg
209,,,1643,product_featured,product-1643-wynkk-beauty-alabaster-box-16ml.jpg
186,,,1646,product_featured,product-1646-o-cosmetics-brush-bath.jpg
178,,,1647,product_featured,product-1647-ferrarucci-all-nighter-fixer-spray-200ml.jpg
1813,,,1417,product_featured,product-1417-zaron-luxurious-lip-gloss.jpeg
1821,,,1824,product_featured,product-1824-dr-teals-bath-amp-body-eucalyptus-and-spearmint-oil-8-7fl.webp
1820,,,1826,product_featured,product-1826-dr-teals-bath-amp-body-shea-butter-and-almond-oil-8-7fl.webp
1819,,,1827,product_featured,product-1827-dr-teals-bath-amp-body-lavender-oil-8-7fl.jpg
242,,,1825,product_featured,product-1825-dr-teals-bath-amp-amp-body-coconut-oil-8-7fl.jpg
1814,,,1828,product_featured,product-1828-zaron-powder-brush.jpg
1800,,,1829,product_featured,product-1829-vaseline-glutha-hya-flawless-glow-200ml.jpg
1806,,,1833,product_featured,product-1833-viange-eyeshadow-base.webp
1805,,,1835,product_featured,product-1835-vee-beauty-magic-cover-concealer.jpg
1804,,,24659,product_featured,product-24659-vee-beauty-paint-my-world-lip-palette-warm.webp
1803,,,1837,product_featured,product-1837-vee-beauty-girls-night-out-2-blush-palette.jpg
1802,,,1838,product_featured,product-1838-vee-beauty-8in1-powder-palette.jpg
1801,,,1839,product_featured,product-1839-vee-beauty-6in1-powder-palette.jpg
1799,,,11824,product_featured,product-11824-vaseline-glutha-hya-dewy-radiance-200ml.jpg
1798,,,1842,product_featured,product-1842-triangle-powder-puff.webp
1797,,,1843,product_featured,product-1843-tiam-vita-b3-source-40ml.jpg
1796,,,1844,product_featured,product-1844-tiam-snail-azulence-water-essence-180ml.jpg
1795,,,1845,product_featured,product-1845-the-ordinary-retinol-serum-0-5-30ml.webp
1794,,,1846,product_featured,product-1846-the-ordinary-multi-peptide-eye-serum-15ml.jpg
1793,,,1847,product_featured,product-1847-the-ordinary-glycolic-acid-toner-240ml.webp
1780,,,1848,product_featured,product-1848-simple-replenishing-rich-moisturizer-125ml.jpg
1778,,,1850,product_featured,product-1850-paula-beauty-green-pencil.jpg
1777,,,1851,product_featured,product-1851-paula-beauty-blue-pencil.jpg
1776,,,1852,product_featured,product-1852-paula-beauty-black-pencil.jpg
1775,,,1853,product_featured,product-1853-panoxyl-acne-creamy-wash-4-benzoyl-peroxide.jpg
1774,,,1854,product_featured,product-1854-panoxyl-acne-foaming-wash-10-benzoyl-peroxide.jpg
1773,,,1855,product_featured,product-1855-omaricode-skin-mist-matte.webp
1772,,,2425,product_featured,product-2425-olay-retinol-body-lotion-17floz-502ml.webp
1772,,,8669,product_gallery,product-8669-olay-retinol-body-lotion-17floz-502ml-02.jpeg
1772,,,8670,product_gallery,product-8670-olay-retinol-body-lotion-17floz-502ml-03.jpeg
1771,,,1858,product_featured,product-1858-olay-niacinamide-body-wash-20floz-591ml.jpg
1770,,,1859,product_featured,product-1859-olay-niacinamide-body-lotion-17floz-502ml.jpg
1763,,,1862,product_featured,product-1862-naturium-vit-c-complex-face-serum.webp
1762,,,1863,product_featured,product-1863-naturium-vit-c-complex-face-cleanser-210.webp
1761,,,1864,product_featured,product-1864-naturium-the-smoother-glycolic-acid-body-wash-500ml.webp
1760,,,1865,product_featured,product-1865-naturium-the-smoother-glycolic-acid-body-lotion-234ml.webp
1759,,,1867,product_featured,product-1867-naturium-the-perfector-salicylic-acid-body-wash-500ml.webp
1758,,,1869,product_featured,product-1869-naturium-the-brightener-vitamin-c-body-wash-500ml.webp
1757,,,1870,product_featured,product-1870-naturium-glow-getter-multi-oil-body-wash-500ml.jpg
1756,,,1871,product_featured,product-1871-naturium-glow-getter-multi-oil-body-butter-232ml.jpg
1755,,,1872,product_featured,product-1872-naturium-bio-lipid-restoring-body-lotion-414ml.jpg
1754,,,1873,product_featured,product-1873-msmetics-sealowatte-spray-velvet.jpg
1753,,,1874,product_featured,product-1874-msmetics-sealowatte-spray-matte.jpg
1752,,,1875,product_featured,product-1875-msmetics-power-seal-150ml.jpg
1750,,,1878,product_featured,product-1878-msmetics-aqua-grip-primer-50ml-matte.jpg
1746,,,1879,product_featured,product-1879-merak-green-pencil.jpg
1745,,,1880,product_featured,product-1880-merak-blue-pencil.jpeg
1809,,,1885,product_featured,product-1885-yglam-brown-brush-set.webp
1739,,,1889,product_featured,product-1889-mehron-skin-prep.jpeg
1738,,,1890,product_featured,product-1890-medix-15oz-glycolic-amp-lactic-acid-body-wash.jpg
1737,,,1891,product_featured,product-1891-mario-badescu-facial-spray-rosewater-236ml.webp
1736,,,1893,product_featured,product-1893-mabrook-black-pencil.jpg
1735,,,1894,product_featured,product-1894-la-roche-posay-anthelios-uvmune-400-invisible-fluid-spf-50-5.webp
1734,,,1896,product_featured,product-1896-kiss-beauty-spray.jpg
1732,,,1897,product_featured,product-1897-haruharu-wonder-black-rice-hyaluronic-anti-wrinkle-serum-50m.webp
1733,,,1898,product_featured,product-1898-heimish-all-clean-balm.jpg
1730,,,1899,product_featured,product-1899-good-molecules-light-weight-daily-moisturizer-100ml.webp
1731,,,1900,product_featured,product-1900-good-molecules-yerba-mate-wake-up-eye-gel-15ml.jpg
1729,,,1901,product_featured,product-1901-good-molecules-hydrating-facial-cleansing-gel-200ml.webp
1728,,,1902,product_featured,product-1902-good-molecules-discoloration-serum-75ml.webp
1727,,,1903,product_featured,product-1903-good-molecules-discoloration-correcting-body-treatment120ml.jpg
1726,,,1904,product_featured,product-1904-gele-pin-office-pin.jpg
1725,,,1905,product_featured,product-1905-frudia-ultra-uv-shield-essence-50.webp
1723,,,1906,product_featured,product-1906-topicals-faded-brightening-and-clearing-serum.jpg
1722,,,4720,product_featured,product-4720-topicals-faded-brightening-and-clearing-serum-30ml.jpeg
1721,,,1908,product_featured,product-1908-ezanic-azelaic-acid-gel-w-w-15g.jpg
1720,,,1909,product_featured,product-1909-eos-body-lotion-vanilla-cashmere.jpg
1719,,,1910,product_featured,product-1910-eos-body-lotion-pomegranate-raspberry-16fl-473ml.jpg
1718,,,1911,product_featured,product-1911-eos-body-lotion-jasmine-peach-16fl-473ml.webp
1717,,,1912,product_featured,product-1912-elastalift-15oz-vitamin-c-cream.jpg
1716,,,1913,product_featured,product-1913-elastalift-1-75oz-brightening-vitamin-c-anti-aging-face-seru.webp
1715,,,1914,product_featured,product-1914-elastalift-1-75oz-vitamin-c-turmeric-face-cream.jpg
1714,,,1915,product_featured,product-1915-davies-brow-pencil-colour-18-pack-of-12.jpg
1713,,,1916,product_featured,product-1916-davies-brow-pencil-03-pack-of-12.jpg
1712,,,1917,product_featured,product-1917-d-alba-first-spray-serum-100ml.webp
1711,,,1918,product_featured,product-1918-cpd-cream-blush-palette.jpg
1709,,,1920,product_featured,product-1920-classic-super-hold-lash-glue.jpg
1708,,,1921,product_featured,product-1921-candybeauty-line-pigment-glue.jpeg
1707,,,1922,product_featured,product-1922-candybeauty-line-pigment.jpeg
1688,,,1926,product_featured,product-1926-advanced-clinicals-2oz-vitamin-c-face-brightening-gel-cream.jpg
1687,,,5925,product_featured,product-5925-advanced-clinicals-16oz-vit-c-brightening-body-cream.jpeg
1687,,,5925,product_featured,product-5925-advanced-clinicals-16oz-vit-c-brightening-body-cream-02.jpeg
1687,,,5926,product_gallery,product-5926-advanced-clinicals-16oz-vit-c-brightening-body-cream-03.jpeg
